Food_Name,Expiry_Date,Date_Purchased,Inventory_Quantity
Full Cream Milk,5/10/2026,20/9/2026,4
Cheddar Cheese,15/11/2026,18/9/2026,2
Greek Yogurt,1/10/2026,22/9/2026,6
Butter Unsalted,10/12/2026,10/9/2026,3
Heavy Cream,8/10/2026,21/9/2026,1
Mozzarella Cheese,20/10/2026,15/9/2026,2
Cottage Cheese,12/10/2026,19/9/2026,2
Sour Cream,18/10/2026,20/9/2026,1
Fresh Salmon Fillet,25/9/2026,22/9/2026,3
Ground Beef 80/20,28/9/2026,21/9/2026,5
Chicken Breast,29/9/2026,20/9/2026,8
Pork Chops,27/9/2026,21/9/2026,4
Bacon Strip Pack,15/10/2026,18/9/2026,3
Raw Shrimp,26/9/2026,22/9/2026,2
Ribeye Steak,28/9/2026,22/9/2026,2
Organic Spinach,27/9/2026,21/9/2026,2
Gala Apples,12/10/2026,15/9/2026,12
Avocados,26/9/2026,21/9/2026,4
Bananas,28/9/2026,22/9/2026,7
Carrots 1kg,20/10/2026,18/9/2026,1
Yellow Onions,1/11/2026,10/9/2026,5
Russet Potatoes 5kg,15/11/2026,10/9/2026,1
Broccoli Crown,29/9/2026,21/9/2026,3
Cherry Tomatoes,30/9/2026,22/9/2026,2
Whole Wheat Bread,30/9/2026,22/9/2026,2
Sourdough Loaf,27/9/2026,21/9/2026,1
Bagels 6-pack,2/10/2026,22/9/2026,1
Croissants 4-pack,25/9/2026,21/9/2026,2
Pita Bread,5/10/2026,19/9/2026,3
Canned Black Beans,10/8/2027,10/9/2026,10
Extra Virgin Olive Oil,1/12/2027,15/8/2026,1
Jasmine Rice 5kg,30/6/2027,1/9/2026,1
Penne Pasta,15/1/2028,20/8/2026,4
Canned Diced Tomatoes,10/10/2027,5/9/2026,8
Peanut Butter,20/5/2027,10/8/2026,2
Rolled Oats,12/3/2027,1/9/2026,2
Soy Sauce,1/5/2028,15/7/2026,1
Granulated Sugar,1/9/2028,10/6/2026,1
All-Purpose Flour,15/9/2027,1/8/2026,2
Frozen Mixed Vegetables,15/3/2027,5/9/2026,3
Vanilla Ice Cream,20/1/2027,12/9/2026,2
Frozen Blueberries,10/5/2027,1/9/2026,2
Frozen Pizza,18/2/2027,14/9/2026,4
Frozen Chicken Nuggets,1/4/2027,10/9/2026,2
Orange Juice,10/10/2026,20/9/2026,2
Sparkling Water 12-pack,1/3/2027,5/9/2026,3
Ground Coffee,15/2/2027,1/9/2026,2
Green Tea Bags,20/8/2027,10/8/2026,1
Almond Milk,25/10/2026,18/9/2026,3
Frozen Salmon,20/07/2027,19/06/2026,400
